start_time,speed,age,gender
01-29 16:51:17,22.09,33,1
01-29 16:51:23,8.25,34,1
01-29 16:51:22,13.30,47,1
01-29 16:51:14,14.64,30,1
01-29 16:28:06,9.36,58,2
01-29 16:35:34,17.84,36,2
01-29 16:31:49,12.01,41,1
01-29 16:36:58,24.99,35,1
01-29 16:30:32,10.47,23,1
01-29 16:19:59,4.53,59,1
01-29 16:18:38,10.89,52,2
01-29 16:06:46,10.88,46,2
01-29 16:02:31,13.11,59,1
01-29 16:00:48,11.67,41,1
01-29 16:01:34,11.62,35,1
01-29 15:58:47,21.37,29,1
01-29 15:38:49,7.78,38,1
01-29 15:35:23,8.15,49,2
01-29 15:39:08,12.42,34,1
01-29 15:33:59,7.34,58,1
01-29 15:30:25,17.12,54,1
01-29 15:12:26,12.43,29,1
01-29 15:08:34,7.94,31,1
01-29 14:55:51,9.29,69,1
01-29 14:54:45,6.41,33,1
01-29 14:45:59,8.80,22,1
01-29 14:25:46,7.92,30,1
01-29 14:37:55,9.61,47,1
01-29 14:21:45,17.32,45,1
01-29 14:16:04,7.62,27,1
01-29 14:10:16,10.53,31,2
01-29 14:09:45,17.61,40,1
01-29 14:04:18,15.62,33,1
01-29 13:58:07,12.51,22,1
01-29 13:52:25,14.30,37,1
01-29 13:37:54,14.81,41,1
01-29 13:29:38,12.67,53,1
01-29 13:24:55,14.48,31,1
01-29 13:14:48,11.64,38,1
01-29 12:56:04,11.48,52,1
01-29 13:07:06,13.70,44,1
01-29 13:04:05,5.57,35,2
01-29 12:38:19,10.78,40,1
01-29 12:46:31,9.03,51,1
01-29 12:13:30,8.46,19,2
01-29 12:32:56,6.95,25,1
01-29 12:13:57,14.67,47,1
01-29 12:09:01,12.58,28,1
01-29 11:55:26,12.75,40,2
01-29 11:56:10,17.97,22,1
01-29 11:35:34,7.54,40,2
01-29 11:39:55,13.38,44,1
01-29 11:13:52,13.78,61,1
01-29 11:11:51,11.07,26,1
01-29 09:59:25,1.96,33,2
01-29 11:01:48,14.67,39,2
01-29 10:54:06,18.61,32,1
01-29 10:52:20,21.10,51,1
01-29 10:38:03,14.93,31,2
01-29 10:32:43,15.48,56,1
01-29 10:03:52,9.52,38,1
01-29 10:17:58,8.43,59,1
01-29 10:15:22,3.04,53,1
01-29 10:11:23,18.47,54,1
01-29 10:01:47,10.24,35,1
01-29 09:05:24,1.91,44,1
01-29 09:55:47,12.21,23,1
01-29 09:41:24,9.33,55,2
01-29 09:42:57,11.69,30,1
01-29 09:34:25,10.56,49,1
01-29 09:43:32,16.72,30,1
01-29 09:32:21,7.82,25,1
01-29 09:38:08,12.39,34,1
01-29 09:37:45,9.95,40,1
01-29 09:36:41,20.61,25,2
01-29 09:25:02,15.86,28,2
01-29 09:25:26,14.41,38,1
01-29 09:30:21,8.26,23,2
01-29 09:31:51,13.50,30,1
01-29 09:28:27,10.68,55,1
01-29 09:19:19,12.72,28,2
01-29 09:22:07,9.11,43,1
01-29 09:12:55,7.79,42,1
01-29 09:18:12,11.51,23,2
01-29 09:22:36,11.16,29,2
01-29 09:14:54,12.13,38,1
01-29 09:09:59,22.21,24,1
01-29 09:07:02,10.54,28,1
01-29 08:59:08,7.86,49,1
01-29 09:13:20,8.58,71,1
01-29 09:13:17,12.52,42,1
01-29 08:47:00,17.34,31,1
01-29 09:12:32,13.05,45,1
01-29 08:50:48,13.61,37,1
01-29 08:57:02,14.29,49,1
01-29 08:46:53,14.26,31,1
01-29 08:59:11,14.02,37,1
01-29 08:57:14,11.11,46,1
01-29 09:05:50,20.74,20,2
01-29 08:59:45,17.82,31,1
01-29 08:54:12,17.14,39,2
01-29 08:59:11,18.50,29,1
01-29 08:56:06,11.63,41,1
01-29 08:48:05,14.24,26,1
01-29 08:55:01,16.47,43,1
01-29 08:52:29,15.41,22,1
01-29 08:52:04,16.40,29,1
01-29 08:49:56,14.33,36,1
01-29 08:40:08,19.56,27,1
01-29 08:41:08,8.87,44,1
01-29 08:24:01,8.98,21,1
01-29 08:34:44,17.77,32,1
01-29 08:27:19,15.29,30,3
01-29 08:38:37,16.95,47,2
01-29 08:39:47,7.85,36,2
01-29 08:35:00,16.53,29,1
01-29 08:35:10,21.82,56,1
01-29 08:27:51,10.62,31,2
01-29 08:28:10,11.63,28,3
01-29 08:27:17,16.13,57,1
01-29 08:21:43,11.11,27,1
01-29 08:26:40,11.16,56,1
01-29 08:24:38,17.72,29,1
01-29 08:13:47,16.89,30,2
01-29 08:15:33,17.17,30,1
01-29 08:14:33,12.65,29,1
01-29 08:08:39,15.79,27,2
01-29 08:14:41,14.97,27,1
01-29 08:09:15,17.81,25,2
01-29 08:02:56,15.68,32,2
01-29 08:06:31,20.72,25,1
01-29 08:05:09,11.49,33,2
01-29 07:56:32,17.37,34,1
01-29 08:03:03,7.93,34,1
01-29 07:55:23,15.15,35,1
01-29 07:50:33,10.86,40,2
01-29 07:49:40,12.57,35,1
01-29 07:48:14,12.95,27,1
01-29 07:41:52,18.69,24,1
01-29 07:44:11,15.85,53,1
01-29 07:43:08,16.38,48,1
01-29 07:31:24,8.02,60,2
01-29 07:35:06,17.44,32,2
01-29 07:18:30,18.16,32,1
01-29 07:25:19,13.23,26,1
01-29 07:26:14,17.77,38,2
01-29 07:20:16,13.72,55,1
01-29 07:09:25,13.05,34,1
01-29 07:12:27,14.15,38,1
01-29 07:07:55,15.72,32,1
01-29 07:01:32,14.12,28,1
01-29 06:56:26,11.90,33,1
01-29 06:49:29,11.66,39,1
01-29 06:46:43,14.70,35,1
01-29 06:35:47,8.53,29,1
